"","car.id","time.arrived"
"1","20150001010009-284","2015-07-01 13:00:00"
"2","20150001050042-811","2015-09-01 17:00:00"
"3","20150001060025-421","2015-09-01 06:00:00"
"4","20150001070000-174","2015-09-01 07:00:00"
"5","20150001070006-104","2015-08-01 07:00:00"
"6","20150001080008-525","2015-09-01 08:00:00"
"7","20150001080044-124","2015-07-01 08:00:00"
"8","20150001090048-374","2015-09-01 09:00:00"
"9","20150001100019-538","2015-08-01 10:00:00"
"10","20150001110028-155","2015-08-01 23:00:00"
"11","20150001120031-180","2015-12-01 12:00:00"
"12","20150002060008-683","2015-08-02 18:00:00"
"13","20150002060024-302","2015-08-02 06:00:00"
"14","20150002070024-376","2015-06-02 07:00:00"
"15","20150002080017-383","2015-10-02 08:00:00"
"16","20150002080040-921","2015-05-02 20:00:00"
"17","20150002080057-495","2015-08-02 08:00:00"
"18","20150002120037-795","2015-08-02 12:00:00"
"19","20150003010039-281","2015-07-03 13:00:00"
"20","20150003020050-522","2015-07-03 14:00:00"
"21","20150003040042-47","2015-06-03 16:00:00"
"22","20150003060007-767","2015-06-03 18:00:00"
"23","20150003080058-668","2015-07-03 08:00:00"
"24","20150003090016-90","2015-08-03 09:00:00"
"25","20150003090030-424","2015-07-03 09:00:00"
"26","20150004010010-724","2015-07-04 13:00:00"
"27","20150004010027-232","2015-06-04 13:00:00"
"28","20150004010051-792","2015-09-04 13:00:00"
"29","20150004030017-259","2015-09-04 15:00:00"
"30","20150004030033-995","2015-06-04 15:00:00"
"31","20150004050003-330","2015-08-04 05:00:00"
"32","20150004050011-484","2015-07-04 05:00:00"
"33","20150004070037-579","2015-09-04 19:00:00"
"34","20150004100026-651","2015-09-04 10:00:00"
"35","20150004110002-747","2015-08-04 11:00:00"
"36","20150004120029-367","2015-09-04 12:00:00"
"37","20150005020044-437","2015-07-05 14:00:00"
"38","20150005030012-864","2015-06-05 15:00:00"
"39","20150005080045-118","2015-07-05 08:00:00"
"40","20150005110029-714","2015-07-05 11:00:00"
"41","20150005120027-336","2015-10-05 12:00:00"
"42","20150006010020-419","2015-06-06 13:00:00"
"43","20150006030021-893","2015-05-06 15:00:00"
"44","20150006030042-85","2015-09-06 15:00:00"
"45","20150006040002-269","2015-07-06 16:00:00"
"46","20150006070008-822","2015-07-06 07:00:00"
"47","20150006070032-991","2015-07-06 07:00:00"
"48","20150006080007-531","2015-08-06 08:00:00"
"49","20150007020012-126","2015-08-07 14:00:00"
"50","20150007030049-86","2015-06-07 03:00:00"
"51","20150007040000-591","2015-08-07 16:00:00"
"52","20150007040001-180","2015-07-07 16:00:00"
"53","20150007040010-264","2015-07-07 16:00:00"
"54","20150007050005-262","2015-12-07 17:00:00"
"55","20150007060003-154","2015-05-07 18:00:00"
"56","20150007070026-475","2015-09-07 19:00:00"
"57","20150007080020-82","2015-07-07 08:00:00"
"58","20150007090049-931","2015-06-07 09:00:00"
"59","20150007110022-413","2015-06-07 11:00:00"
"60","20150007120029-935","2015-07-07 00:00:00"
"61","20150008010008-348","2015-05-08 01:00:00"
"62","20150008010023-545","2015-07-08 13:00:00"
"63","20150008010052-816","2015-08-08 01:00:00"
"64","20150008060003-21","2015-06-08 06:00:00"
"65","20150008060048-631","2015-08-08 06:00:00"
"66","20150008080010-6","2015-05-08 20:00:00"
"67","20150008080048-814","2015-09-08 08:00:00"
"68","20150008110047-331","2015-11-08 23:00:00"
"69","20150009030033-322","2015-07-09 03:00:00"
"70","20150009040035-292","2015-09-09 16:00:00"
"71","20150009060037-852","2015-08-09 06:00:00"
"72","20150009080021-959","2015-11-09 20:00:00"
"73","20150009100056-432","2015-07-09 10:00:00"
"74","20150009110038-258","2015-08-09 11:00:00"
"75","20150010010032-566","2015-07-10 01:00:00"
"76","20150010020057-694","2015-07-10 14:00:00"
"77","20150010030002-664","2015-07-10 15:00:00"
"78","20150010030024-367","2015-09-10 15:00:00"
"79","20150010040007-631","2015-08-10 16:00:00"
"80","20150010040037-125","2015-07-10 16:00:00"
"81","20150010050052-231","2015-06-10 17:00:00"
"82","20150010070052-300","2015-09-10 07:00:00"
"83","20150010080005-370","2015-08-10 08:00:00"
"84","20150010080038-54","2015-06-10 08:00:00"
"85","20150010100022-558","2015-08-10 10:00:00"
"86","20150010120011-538","2015-08-10 12:00:00"
"87","20150010120016-560","2015-06-10 00:00:00"
"88","20150010120021-402","2015-08-10 12:00:00"
"89","20150010120037-8","2015-07-10 12:00:00"
"90","20150011020058-334","2015-06-11 14:00:00"
"91","20150011060014-975","2015-09-11 18:00:00"
"92","20150011070002-311","2015-07-11 07:00:00"
"93","20150011070040-794","2015-10-11 07:00:00"
"94","20150011120023-724","2015-07-11 12:00:00"
"95","20150012040030-974","2015-09-12 16:00:00"
"96","20150012080004-451","2015-08-12 08:00:00"
"97","20150013020033-816","2015-06-13 14:00:00"
"98","20150013030032-591","2015-06-13 15:00:00"
"99","20150013030046-227","2015-09-13 03:00:00"
"100","20150013040059-365","2015-06-13 16:00:00"
"101","20150013050035-283","2015-07-13 05:00:00"
"102","20150013060021-372","2015-06-13 18:00:00"
"103","20150013090012-973","2015-09-13 09:00:00"
"104","20150013090015-853","2015-05-13 21:00:00"
"105","20150013110015-112","2015-07-13 11:00:00"
"106","20150013110026-772","2015-10-13 11:00:00"
"107","20150013110026-797","2015-06-13 11:00:00"
"108","20150014010052-857","2015-07-14 01:00:00"
"109","20150014010056-634","2015-09-14 01:00:00"
"110","20150014020055-887","2015-10-14 02:00:00"
"111","20150014030027-293","2015-08-14 15:00:00"
"112","20150014030033-497","2015-09-14 15:00:00"
"113","20150014040019-114","2015-12-14 16:00:00"
"114","20150014080042-626","2015-06-14 08:00:00"
"115","20150014100049-755","2015-08-14 10:00:00"
"116","20150014120010-306","2015-09-14 12:00:00"
"117","20150015040031-221","2015-10-15 16:00:00"
"118","20150015070013-394","2015-07-15 07:00:00"
"119","20150015080046-446","2015-09-15 08:00:00"
"120","20150015120027-493","2015-07-15 12:00:00"
"121","20150016010039-314","2015-06-16 13:00:00"
"122","20150016010043-705","2015-09-16 13:00:00"
"123","20150016030059-807","2015-10-16 03:00:00"
"124","20150016040038-159","2015-06-16 04:00:00"
"125","20150016040041-1","2015-08-16 16:00:00"
"126","20150016070028-165","2015-07-16 07:00:00"
"127","20150016070034-393","2015-06-16 07:00:00"
"128","20150016070037-632","2015-09-16 07:00:00"
"129","20150016090024-567","2015-07-16 09:00:00"
"130","20150016090035-720","2015-08-16 09:00:00"
"131","20150016090054-771","2015-08-16 09:00:00"
"132","20150016110047-767","2015-06-16 11:00:00"
"133","20150016120041-181","2015-08-16 12:00:00"
"134","20150016120045-845","2015-05-16 12:00:00"
"135","20150017040038-392","2015-09-17 16:00:00"
"136","20150017050047-192","2015-05-17 05:00:00"
"137","20150017060051-822","2015-05-17 18:00:00"
"138","20150017070009-324","2015-07-17 07:00:00"
"139","20150017100000-961","2015-06-17 10:00:00"
"140","20150017120018-349","2015-08-17 00:00:00"
"141","20150017120055-53","2015-08-17 12:00:00"
"142","20150018020030-238","2015-07-18 14:00:00"
"143","20150018030025-615","2015-05-18 03:00:00"
"144","20150018050050-556","2015-06-18 17:00:00"
"145","20150018070004-166","2015-06-18 19:00:00"
"146","20150018080022-664","2015-09-18 08:00:00"
"147","20150018100013-569","2015-09-18 10:00:00"
"148","20150018110014-26","2015-06-18 11:00:00"
"149","20150018110057-525","2015-08-18 11:00:00"
"150","20150019010004-372","2015-07-19 13:00:00"
"151","20150019010017-785","2015-07-19 13:00:00"
"152","20150019010055-677","2015-08-19 13:00:00"
"153","20150019030052-865","2015-07-19 15:00:00"
"154","20150019040039-358","2015-08-19 16:00:00"
"155","20150019040047-472","2015-06-19 16:00:00"
"156","20150019050058-11","2015-06-19 17:00:00"
"157","20150019090006-7","2015-09-19 09:00:00"
"158","20150019120036-151","2015-08-19 12:00:00"
"159","20150020030052-644","2015-05-20 15:00:00"
"160","20150020040021-389","2015-09-20 16:00:00"
"161","20150020070057-880","2015-07-20 19:00:00"
"162","20150020090018-839","2015-08-20 09:00:00"
