car.id, path
20154301124328-262, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20153101013141-937, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20155201025212-846, entrance1 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20155301025312-741, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20150101030146-497, entrance4 entrance2
20153701033700-323, entrance3 general-gate7 entrance1
20154001034019-109, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20152901052958-57, entrance2 camping6 camping6 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20154201054201-550, entrance2 entrance4
20154901054932-304, entrance1 camping2 camping2 general-gate7 entrance3
20151701061719-611, entrance3 general-gate7 camping3 camping3 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20155101065139-549, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping0 camping0 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20152001072049-523, entrance3 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 camping6 camping6 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 entrance1
20153601073650-751, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping2 camping2 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 general-gate5 entrance4
20155201075209-669, ranger-base gate8 general-gate5 gate3 ranger-stop3 ranger-stop3 gate3 camping8 general-gate3 gate4 ranger-stop5 ranger-stop5 gate4 gate5 ranger-stop6 ranger-stop6 gate5 gate8 ranger-base
20151001081035-840, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance3
20151301081324-366, entrance1 general-gate7 entrance3
20152101082156-552, entrance4 general-gate6 camping7 camping7 general-gate6 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20152701082731-176, entrance2 entrance4
20153601093644-33, entrance0 general-gate4 general-gate7 camping3 camping3 general-gate7 general-gate4 general-gate1 ranger-stop2 ranger-stop0 general-gate2 entrance2
20155201095259-137, entrance4 general-gate5 camping8 camping8 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20153201103200-582, entrance0 general-gate4 general-gate7 entrance1
20153501103520-243, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20153601103632-930, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 entrance0
20154401104416-538, entrance4 general-gate5 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping2 camping2 general-gate7 general-gate4 entrance0
20155701105733-580, entrance3 general-gate7 camping5 camping5 general-gate7 entrance3
20155801105820-248, entrance2 general-gate2 ranger-stop0 ranger-stop2 general-gate1 general-gate4 general-gate7 camping5 camping5 general-gate7 general-gate4 entrance0
