"","x","y","R","G","B","type"
"1",0,0,0,0,0,"background"
"2",0,1,0,0,0,"background"
"3",0,2,0,0,0,"background"
"4",0,3,0,0,0,"background"
"5",0,4,0,0,0,"background"
"6",0,5,0,0,0,"background"
"7",0,6,0,0,0,"background"
"8",0,7,0,0,0,"background"
"9",0,8,0,0,0,"background"
"10",0,9,0,0,0,"background"
"11",0,10,0,0,0,"background"
"12",0,11,0,0,0,"background"
"13",0,12,0,0,0,"background"
"14",0,13,0,0,0,"background"
"15",0,14,0,0,0,"background"
"16",0,15,0,0,0,"background"
"17",0,16,0,0,0,"background"
"18",0,17,0,0,0,"background"
"19",0,18,0,0,0,"background"
"20",0,19,0,0,0,"background"
"21",0,20,0,0,0,"background"
"22",0,21,0,0,0,"background"
"23",0,22,0,0,0,"background"
"24",0,23,0,0,0,"background"
"25",0,24,0,0,0,"background"
"26",0,25,0,0,0,"background"
"27",0,26,0,0,0,"background"
"28",0,27,0,0,0,"background"
"29",0,28,0,0,0,"background"
"30",0,29,0,0,0,"background"
"31",0,30,0,0,0,"background"
"32",0,31,0,0,0,"background"
"33",0,32,0,0,0,"background"
"34",0,33,0,0,0,"background"
"35",0,34,0,0,0,"background"
"36",0,35,0,0,0,"background"
"37",0,36,0,0,0,"background"
"38",0,37,0,0,0,"background"
"39",0,38,0,0,0,"background"
"40",0,39,0,0,0,"background"
"41",0,40,0,0,0,"background"
"42",0,41,0,0,0,"background"
"43",0,42,0,0,0,"background"
"44",0,43,0,0,0,"background"
"45",0,44,0,0,0,"background"
"46",0,45,0,0,0,"background"
"47",0,46,0,0,0,"background"
"48",0,47,0,0,0,"background"
"49",0,48,0,0,0,"background"
"50",0,49,0,0,0,"background"
"51",0,50,0,0,0,"background"
"52",0,51,0,0,0,"background"
"53",0,52,0,0,0,"background"
"54",0,53,0,0,0,"background"
"55",0,54,0,0,0,"background"
"56",0,55,0,0,0,"background"
"57",0,56,0,0,0,"background"
"58",0,57,0,0,0,"background"
"59",0,58,0,0,0,"background"
"60",0,59,0,0,0,"background"
"61",0,60,0,0,0,"background"
"62",0,61,0,0,0,"background"
"63",0,62,0,0,0,"background"
"64",0,63,0,0,0,"background"
"65",0,64,0,0,0,"background"
"66",0,65,0,0,0,"background"
"67",0,66,0,0,0,"background"
"68",0,67,0,0,0,"background"
"69",0,68,255,255,255,"road"
"70",0,69,0,0,0,"background"
"71",0,70,0,0,0,"background"
"72",0,71,0,0,0,"background"
"73",0,72,0,0,0,"background"
"74",0,73,0,0,0,"background"
"75",0,74,0,0,0,"background"
"76",0,75,0,0,0,"background"
"77",0,76,0,0,0,"background"
"78",0,77,0,0,0,"background"
"79",0,78,0,0,0,"background"
"80",0,79,0,0,0,"background"
"81",0,80,0,0,0,"background"
"82",0,81,0,0,0,"background"
"83",0,82,0,0,0,"background"
"84",0,83,0,0,0,"background"
"85",0,84,0,0,0,"background"
"86",0,85,0,0,0,"background"
"87",0,86,0,0,0,"background"
"88",0,87,0,0,0,"background"
"89",0,88,0,0,0,"background"
"90",0,89,0,0,0,"background"
"91",0,90,0,0,0,"background"
"92",0,91,0,0,0,"background"
"93",0,92,0,0,0,"background"
"94",0,93,0,0,0,"background"
"95",0,94,0,0,0,"background"
"96",0,95,0,0,0,"background"
"97",0,96,0,0,0,"background"
"98",0,97,0,0,0,"background"
"99",0,98,0,0,0,"background"
"100",0,99,0,0,0,"background"
"101",0,100,0,0,0,"background"
"102",0,101,0,0,0,"background"
"103",0,102,0,0,0,"background"
"104",0,103,0,0,0,"background"
"105",0,104,0,0,0,"background"
"106",0,105,0,0,0,"background"
"107",0,106,0,0,0,"background"
"108",0,107,0,0,0,"background"
"109",0,108,0,0,0,"background"
"110",0,109,0,0,0,"background"
"111",0,110,0,0,0,"background"
"112",0,111,0,0,0,"background"
"113",0,112,0,0,0,"background"
"114",0,113,0,0,0,"background"
"115",0,114,0,0,0,"background"
"116",0,115,0,0,0,"background"
"117",0,116,0,0,0,"background"
"118",0,117,0,0,0,"background"
"119",0,118,0,0,0,"background"
"120",0,119,0,0,0,"background"
"121",0,120,0,0,0,"background"
"122",0,121,0,0,0,"background"
"123",0,122,0,0,0,"background"
"124",0,123,0,0,0,"background"
"125",0,124,0,0,0,"background"
"126",0,125,0,0,0,"background"
"127",0,126,0,0,0,"background"
"128",0,127,0,0,0,"background"
"129",0,128,0,0,0,"background"
"130",0,129,0,0,0,"background"
"131",0,130,0,0,0,"background"
"132",0,131,0,0,0,"background"
"133",0,132,0,0,0,"background"
"134",0,133,0,0,0,"background"
"135",0,134,0,0,0,"background"
"136",0,135,0,0,0,"background"
"137",0,136,0,0,0,"background"
"138",0,137,0,0,0,"background"
"139",0,138,0,0,0,"background"
"140",0,139,0,0,0,"background"
"141",0,140,0,0,0,"background"
"142",0,141,0,0,0,"background"
"143",0,142,0,0,0,"background"
"144",0,143,0,0,0,"background"
"145",0,144,0,0,0,"background"
"146",0,145,0,0,0,"background"
"147",0,146,0,0,0,"background"
"148",0,147,0,0,0,"background"
"149",0,148,0,0,0,"background"
"150",0,149,0,0,0,"background"
"151",0,150,0,0,0,"background"
"152",0,151,0,0,0,"background"
"153",0,152,0,0,0,"background"
