"car.id","car.type","start_time","end_time","start_gate","end_gate","time_taken"
"20150006030042-85","5","9/6/15 15:00","9/6/15 15:23","entrance2","entrance4",23
"20150105020100-532","5","11/5/15 14:01","11/5/15 14:15","entrance1","general-gate7",14
"20150105020100-532","5","11/5/15 14:15","11/5/15 14:23","general-gate7","general-gate4",8
"20150105020100-532","5","11/5/15 14:23","11/5/15 14:37","general-gate4","entrance0",14
"20150108090141-220","5","10/8/15 9:01","10/8/15 9:13","entrance0","general-gate4",12
"20150108090141-220","5","10/8/15 9:13","10/8/15 9:20","general-gate4","general-gate7",7
"20150108090141-220","5","10/8/15 9:20","10/8/15 9:33","general-gate7","entrance1",13
"20150109120126-683","5","8/9/15 12:01","8/9/15 12:21","entrance2","general-gate2",20
"20150109120126-683","5","8/9/15 12:21","8/9/15 12:24","general-gate2","ranger-stop0",3
"20150109120126-683","5","8/9/15 12:24","8/9/15 12:27","ranger-stop0","ranger-stop2",3
"20150109120126-683","5","8/9/15 12:27","8/9/15 12:30","ranger-stop2","general-gate1",3
"20150109120126-683","5","8/9/15 12:30","8/9/15 12:41","general-gate1","general-gate4",11
"20150109120126-683","5","8/9/15 12:41","8/9/15 12:49","general-gate4","general-gate7",8
"20150109120126-683","5","8/9/15 12:49","8/9/15 13:02","general-gate7","entrance1",13
"20150129050133-736","5","12/29/15 5:01","12/29/15 5:11","entrance4","general-gate5",10
"20150129050133-736","5","12/29/15 5:11","12/29/15 5:23","general-gate5","general-gate2",12
"20150129050133-736","5","12/29/15 5:23","12/29/15 5:26","general-gate2","ranger-stop0",3
"20150129050133-736","5","12/29/15 5:26","12/29/15 5:30","ranger-stop0","ranger-stop2",4
"20150129050133-736","5","12/29/15 5:30","12/29/15 5:32","ranger-stop2","general-gate1",2
"20150129050133-736","5","12/29/15 5:32","12/29/15 5:44","general-gate1","general-gate4",12
"20150129050133-736","5","12/29/15 5:44","12/29/15 5:51","general-gate4","general-gate7",7
"20150129050133-736","5","12/29/15 5:51","12/29/15 6:04","general-gate7","entrance1",13
"20150130010144-517","5","8/30/15 1:01","8/30/15 1:14","entrance3","general-gate7",13
"20150130010144-517","5","8/30/15 1:14","8/30/15 1:26","general-gate7","entrance1",12
"20150204070256-521","5","10/4/15 7:02","10/4/15 7:16","entrance1","general-gate7",14
"20150204070256-521","5","10/4/15 7:16","10/4/15 7:32","general-gate7","entrance3",16
"20150205120211-387","5","11/5/15 0:02","11/5/15 0:14","entrance1","general-gate7",12
"20150205120211-387","5","11/5/15 0:14","11/5/15 0:20","general-gate7","general-gate4",6
"20150205120211-387","5","11/5/15 0:20","11/5/15 0:32","general-gate4","entrance0",12
"20150219060212-464","5","9/19/15 6:02","9/19/15 6:03","entrance0","general-gate1",1
"20150219060212-464","5","9/19/15 6:03","9/19/15 6:06","general-gate1","ranger-stop2",3
"20150219060212-464","5","9/19/15 6:06","9/19/15 6:09","ranger-stop2","ranger-stop0",3
"20150219060212-464","5","9/19/15 6:09","9/19/15 6:12","ranger-stop0","general-gate2",3
"20150219060212-464","5","9/19/15 6:12","9/19/15 6:23","general-gate2","general-gate5",11
"20150219060212-464","5","9/19/15 6:23","9/19/15 6:32","general-gate5","entrance4",9
"20150224010232-820","5","9/24/15 13:02","9/24/15 13:03","entrance0","general-gate1",1
