"car.id","car.type","start_time","end_time","start_gate","end_gate","time_taken"
"20150004070037-579","4","9/4/15 19:00","9/4/15 19:11","entrance4","general-gate5",11
"20150004070037-579","4","9/4/15 19:11","9/4/15 19:23","general-gate5","general-gate2",12
"20150004070037-579","4","9/4/15 19:23","9/4/15 19:27","general-gate2","ranger-stop0",4
"20150004070037-579","4","9/4/15 19:27","9/4/15 19:30","ranger-stop0","ranger-stop2",3
"20150004070037-579","4","9/4/15 19:30","9/4/15 19:33","ranger-stop2","general-gate1",3
"20150004070037-579","4","9/4/15 19:33","9/4/15 19:45","general-gate1","general-gate4",12
"20150004070037-579","4","9/4/15 19:45","9/4/15 19:53","general-gate4","general-gate7",8
"20150004070037-579","4","9/4/15 19:53","9/4/15 20:07","general-gate7","entrance1",14
"20150010030024-367","4","9/10/15 15:00","9/10/15 15:21","entrance3","entrance0",21
"20150019120036-151","4","8/19/15 12:00","8/19/15 12:02","entrance0","general-gate1",2
"20150019120036-151","4","8/19/15 12:02","8/19/15 12:05","general-gate1","ranger-stop2",3
"20150019120036-151","4","8/19/15 12:05","8/19/15 12:08","ranger-stop2","ranger-stop0",3
"20150019120036-151","4","8/19/15 12:08","8/19/15 12:11","ranger-stop0","general-gate2",3
"20150019120036-151","4","8/19/15 12:11","8/19/15 12:24","general-gate2","general-gate5",13
"20150019120036-151","4","8/19/15 12:24","8/19/15 12:35","general-gate5","entrance4",11
"20150020100002-73","4","8/20/15 10:00","8/20/15 10:01","entrance0","general-gate1",1
"20150020100002-73","4","8/20/15 10:01","8/20/15 10:04","general-gate1","ranger-stop2",3
"20150020100002-73","4","8/20/15 10:04","8/20/15 10:08","ranger-stop2","ranger-stop0",4
"20150020100002-73","4","8/20/15 10:08","8/20/15 10:11","ranger-stop0","general-gate2",3
"20150020100002-73","4","8/20/15 10:11","8/20/15 10:25","general-gate2","general-gate5",14
"20150020100002-73","4","8/20/15 10:25","8/20/15 10:36","general-gate5","entrance4",11
"20150104100141-172","4","12/4/15 10:01","12/4/15 10:21","entrance3","general-gate1",20
"20150104100141-172","4","12/4/15 10:21","12/4/15 10:24","general-gate1","ranger-stop2",3
"20150104100141-172","4","12/4/15 10:24","12/4/15 10:27","ranger-stop2","ranger-stop0",3
"20150104100141-172","4","12/4/15 10:27","12/4/15 10:30","ranger-stop0","general-gate2",3
"20150104100141-172","4","12/4/15 10:30","12/4/15 10:49","general-gate2","entrance2",19
"20150121010150-667","4","9/21/15 13:01","9/21/15 13:13","entrance4","general-gate5",12
"20150121010150-667","4","9/21/15 13:13","9/21/15 13:26","general-gate5","general-gate2",13
"20150121010150-667","4","9/21/15 13:26","9/21/15 13:29","general-gate2","ranger-stop0",3
"20150121010150-667","4","9/21/15 13:29","9/21/15 13:33","ranger-stop0","ranger-stop2",4
"20150121010150-667","4","9/21/15 13:33","9/21/15 13:36","ranger-stop2","general-gate1",3
"20150121010150-667","4","9/21/15 13:36","9/21/15 13:37","general-gate1","entrance0",1
"20150128120128-946","4","10/28/15 12:01","10/28/15 12:22","entrance2","general-gate2",21
"20150128120128-946","4","10/28/15 12:22","10/28/15 12:25","general-gate2","ranger-stop0",3
"20150128120128-946","4","10/28/15 12:25","10/28/15 12:28","ranger-stop0","ranger-stop2",3
"20150128120128-946","4","10/28/15 12:28","10/28/15 12:31","ranger-stop2","general-gate1",3
"20150128120128-946","4","10/28/15 12:31","10/28/15 12:42","general-gate1","general-gate4",11
"20150128120128-946","4","10/28/15 12:42","10/28/15 12:50","general-gate4","general-gate7",8
"20150128120128-946","4","10/28/15 12:50","10/28/15 13:03","general-gate7","entrance1",13
"20150129060102-704","4","11/29/15 18:01","11/29/15 18:23","entrance2","general-gate2",22
"20150129060102-704","4","11/29/15 18:23","11/29/15 18:26","general-gate2","ranger-stop0",3
"20150129060102-704","4","11/29/15 18:26","11/29/15 18:29","ranger-stop0","ranger-stop2",3
"20150129060102-704","4","11/29/15 18:29","11/29/15 18:32","ranger-stop2","general-gate1",3
"20150129060102-704","4","11/29/15 18:32","11/29/15 18:55","general-gate1","entrance3",23
"20150205080253-978","4","9/5/15 8:02","9/5/15 8:04","entrance0","general-gate1",2
"20150205080253-978","4","9/5/15 8:04","9/5/15 8:07","general-gate1","ranger-stop2",3
"20150205080253-978","4","9/5/15 8:07","9/5/15 8:10","ranger-stop2","ranger-stop0",3
"20150205080253-978","4","9/5/15 8:10","9/5/15 8:13","ranger-stop0","general-gate2",3
"20150205080253-978","4","9/5/15 8:13","9/5/15 8:26","general-gate2","general-gate5",13
"20150205080253-978","4","9/5/15 8:26","9/5/15 8:36","general-gate5","entrance4",10
"20150213010207-861","4","9/13/15 13:02","9/13/15 13:23","entrance2","general-gate2",21
"20150213010207-861","4","9/13/15 13:23","9/13/15 13:27","general-gate2","ranger-stop0",4
"20150213010207-861","4","9/13/15 13:27","9/13/15 13:30","ranger-stop0","ranger-stop2",3
"20150213010207-861","4","9/13/15 13:30","9/13/15 13:33","ranger-stop2","general-gate1",3
"20150213010207-861","4","9/13/15 13:33","9/13/15 13:35","general-gate1","entrance0",2
"20150220090207-4","4","9/20/15 21:02","9/20/15 21:13","entrance1","general-gate7",11
"20150220090207-4","4","9/20/15 21:13","9/20/15 21:19","general-gate7","general-gate4",6
"20150220090207-4","4","9/20/15 21:19","9/20/15 21:29","general-gate4","general-gate1",10
"20150220090207-4","4","9/20/15 21:29","9/20/15 21:32","general-gate1","ranger-stop2",3
"20150220090207-4","4","9/20/15 21:32","9/20/15 21:34","ranger-stop2","ranger-stop0",2
"20150220090207-4","4","9/20/15 21:34","9/20/15 21:37","ranger-stop0","general-gate2",3
"20150220090207-4","4","9/20/15 21:37","9/20/15 21:55","general-gate2","entrance2",18
"20150221050207-983","4","9/21/15 17:02","9/21/15 17:03","entrance0","general-gate1",1
"20150221050207-983","4","9/21/15 17:03","9/21/15 17:05","general-gate1","ranger-stop2",2
"20150221050207-983","4","9/21/15 17:05","9/21/15 17:08","ranger-stop2","ranger-stop0",3
"20150221050207-983","4","9/21/15 17:08","9/21/15 17:11","ranger-stop0","general-gate2",3
"20150221050207-983","4","9/21/15 17:11","9/21/15 17:21","general-gate2","general-gate5",10
"20150221050207-983","4","9/21/15 17:21","9/21/15 17:31","general-gate5","entrance4",10
"20150230070254-178","4","8/30/15 19:02","8/30/15 19:17","entrance1","general-gate7",15
"20150230070254-178","4","8/30/15 19:17","8/30/15 19:24","general-gate7","general-gate4",7
"20150230070254-178","4","8/30/15 19:24","8/30/15 19:37","general-gate4","general-gate1",13
"20150230070254-178","4","8/30/15 19:37","8/30/15 19:39","general-gate1","ranger-stop2",2
"20150230070254-178","4","8/30/15 19:39","8/30/15 19:43","ranger-stop2","ranger-stop0",4
"20150230070254-178","4","8/30/15 19:43","8/30/15 19:46","ranger-stop0","general-gate2",3
"20150230070254-178","4","8/30/15 19:46","8/30/15 20:08","general-gate2","entrance2",22
"20150231040229-915","4","10/31/15 16:02","10/31/15 16:12","entrance4","general-gate5",10
"20150231040229-915","4","10/31/15 16:12","10/31/15 16:23","general-gate5","general-gate2",11
"20150231040229-915","4","10/31/15 16:23","10/31/15 16:26","general-gate2","ranger-stop0",3
"20150231040229-915","4","10/31/15 16:26","10/31/15 16:29","ranger-stop0","ranger-stop2",3
"20150231040229-915","4","10/31/15 16:29","10/31/15 16:32","ranger-stop2","general-gate1",3
"20150231040229-915","4","10/31/15 16:32","10/31/15 16:52","general-gate1","entrance3",20
"20150306110354-15","4","8/6/15 23:03","8/6/15 23:05","entrance0","general-gate1",2
"20150306110354-15","4","8/6/15 23:05","8/6/15 23:08","general-gate1","ranger-stop2",3
"20150306110354-15","4","8/6/15 23:08","8/6/15 23:11","ranger-stop2","ranger-stop0",3
"20150306110354-15","4","8/6/15 23:11","8/6/15 23:15","ranger-stop0","general-gate2",4
"20150306110354-15","4","8/6/15 23:15","8/6/15 23:37","general-gate2","entrance2",22
"20150319060310-586","4","10/19/15 18:03","10/19/15 18:24","entrance3","general-gate1",21
"20150319060310-586","4","10/19/15 18:24","10/19/15 18:27","general-gate1","ranger-stop2",3
"20150319060310-586","4","10/19/15 18:27","10/19/15 18:30","ranger-stop2","ranger-stop0",3
"20150319060310-586","4","10/19/15 18:30","10/19/15 18:33","ranger-stop0","general-gate2",3
"20150319060310-586","4","10/19/15 18:33","10/19/15 18:45","general-gate2","general-gate5",12
"20150319060310-586","4","10/19/15 18:45","10/19/15 18:56","general-gate5","entrance4",11
"20150320030336-192","4","10/20/15 15:03","10/20/15 15:25","entrance0","entrance3",22
"20150321100345-935","4","10/21/15 10:03","10/21/15 10:16","entrance1","general-gate7",13
"20150321100345-935","4","10/21/15 10:16","10/21/15 10:31","general-gate7","entrance3",15
"20150321120327-684","4","8/21/15 0:03","8/21/15 0:22","entrance2","entrance4",19
"20150322080300-861","4","10/22/15 20:03","10/22/15 20:03","entrance0","entrance0",0
"20150322080300-861","4","10/22/15 20:03","10/23/15 6:50","entrance0","entrance0",647
"20150322080300-861","4","10/23/15 6:50","10/23/15 6:51","entrance0","general-gate1",1
"20150322080300-861","4","10/23/15 6:51","10/23/15 6:54","general-gate1","ranger-stop2",3
"20150322080300-861","4","10/23/15 6:54","10/23/15 6:58","ranger-stop2","ranger-stop0",4
"20150322080300-861","4","10/23/15 6:58","10/23/15 7:02","ranger-stop0","general-gate2",4
"20150322080300-861","4","10/23/15 7:02","10/23/15 7:15","general-gate2","general-gate5",13
"20150322080300-861","4","10/23/15 7:15","10/23/15 7:27","general-gate5","entrance4",12
"20150325010332-715","4","9/25/15 1:03","9/25/15 1:17","entrance1","general-gate7",14
"20150325010332-715","4","9/25/15 1:17","9/25/15 1:24","general-gate7","general-gate4",7
