"car.id","car.type","start_time","end_time","start_gate","end_gate","time_taken"
"20150001050042-811","1","9/1/15 17:00","9/1/15 17:16","entrance2","general-gate6",16
"20150001050042-811","1","9/1/15 17:16","9/1/15 17:26","general-gate6","camping7",10
"20150001050042-811","1","9/1/15 17:26","9/5/15 17:36","camping7","camping7",5770
"20150001050042-811","1","9/5/15 17:36","9/5/15 17:46","camping7","general-gate6",10
"20150001050042-811","1","9/5/15 17:46","9/5/15 17:53","general-gate6","entrance4",7
"20150001070000-174","1","9/1/15 7:00","9/1/15 7:18","entrance2","general-gate2",18
"20150001070000-174","1","9/1/15 7:18","9/1/15 7:21","general-gate2","ranger-stop0",3
"20150001070000-174","1","9/1/15 7:21","9/1/15 7:24","ranger-stop0","ranger-stop2",3
"20150001070000-174","1","9/1/15 7:24","9/1/15 7:26","ranger-stop2","general-gate1",2
"20150001070000-174","1","9/1/15 7:26","9/1/15 7:36","general-gate1","general-gate4",10
"20150001070000-174","1","9/1/15 7:36","9/1/15 7:43","general-gate4","general-gate7",7
"20150001070000-174","1","9/1/15 7:43","9/1/15 7:55","general-gate7","entrance1",12
"20150001070006-104","1","8/6/15 20:31","8/6/15 20:41","camping5","general-gate7",10
"20150001070006-104","1","8/6/15 20:41","8/6/15 20:54","general-gate7","entrance1",13
"20150001090048-374","1","9/1/15 9:00","9/1/15 9:22","entrance3","general-gate1",22
"20150001090048-374","1","9/1/15 9:22","9/1/15 9:25","general-gate1","ranger-stop2",3
"20150001090048-374","1","9/1/15 9:25","9/1/15 9:28","ranger-stop2","ranger-stop0",3
"20150001090048-374","1","9/1/15 9:28","9/1/15 9:31","ranger-stop0","general-gate2",3
"20150001090048-374","1","9/1/15 9:31","9/1/15 9:52","general-gate2","camping8",21
"20150001090048-374","1","9/1/15 9:52","9/5/15 17:35","camping8","camping8",6223
"20150001090048-374","1","9/5/15 17:35","9/5/15 17:49","camping8","general-gate5",14
"20150001090048-374","1","9/5/15 17:49","9/5/15 17:59","general-gate5","entrance4",10
"20150002080017-383","1","10/2/15 8:00","10/2/15 8:09","entrance4","general-gate5",9
"20150002080017-383","1","10/2/15 8:09","10/2/15 8:20","general-gate5","general-gate2",11
"20150002080017-383","1","10/2/15 8:20","10/2/15 8:23","general-gate2","ranger-stop0",3
"20150002080017-383","1","10/2/15 8:23","10/2/15 8:26","ranger-stop0","ranger-stop2",3
"20150002080017-383","1","10/2/15 8:26","10/2/15 8:29","ranger-stop2","general-gate1",3
"20150002080017-383","1","10/2/15 8:29","10/2/15 8:39","general-gate1","general-gate4",10
"20150002080017-383","1","10/2/15 8:39","10/2/15 8:46","general-gate4","general-gate7",7
"20150002080017-383","1","10/2/15 8:46","10/2/15 9:03","general-gate7","camping2",17
"20150002080017-383","1","10/2/15 9:03","10/3/15 11:07","camping2","camping2",1564
"20150002080017-383","1","10/3/15 11:07","10/3/15 11:23","camping2","general-gate7",16
"20150002080017-383","1","10/3/15 11:23","10/3/15 11:30","general-gate7","general-gate4",7
"20150002080017-383","1","10/3/15 11:30","10/3/15 11:41","general-gate4","general-gate1",11
"20150002080017-383","1","10/3/15 11:41","10/3/15 11:43","general-gate1","ranger-stop2",2
"20150002080017-383","1","10/3/15 11:43","10/3/15 11:46","ranger-stop2","ranger-stop0",3
"20150002080017-383","1","10/3/15 11:46","10/3/15 11:49","ranger-stop0","general-gate2",3
"20150002080017-383","1","10/3/15 11:49","10/3/15 12:08","general-gate2","entrance2",19
"20150002120037-795","1","8/5/15 19:46","8/5/15 19:56","camping5","general-gate7",10
"20150002120037-795","1","8/5/15 19:56","8/5/15 20:11","general-gate7","entrance3",15
"20150004010051-792","1","9/4/15 13:00","9/4/15 13:19","entrance2","general-gate2",19
"20150004010051-792","1","9/4/15 13:19","9/4/15 13:23","general-gate2","ranger-stop0",4
"20150004010051-792","1","9/4/15 13:23","9/4/15 13:25","ranger-stop0","ranger-stop2",2
"20150004010051-792","1","9/4/15 13:25","9/4/15 13:28","ranger-stop2","general-gate1",3
"20150004010051-792","1","9/4/15 13:28","9/4/15 13:39","general-gate1","general-gate4",11
"20150004010051-792","1","9/4/15 13:39","9/4/15 13:45","general-gate4","general-gate7",6
"20150004010051-792","1","9/4/15 13:45","9/4/15 13:58","general-gate7","camping3",13
"20150004010051-792","1","9/4/15 13:58","9/4/15 13:59","camping3","camping3",1
"20150004010051-792","1","9/4/15 13:59","9/4/15 14:12","camping3","general-gate7",13
"20150004010051-792","1","9/4/15 14:12","9/4/15 14:18","general-gate7","general-gate4",6
"20150004010051-792","1","9/4/15 14:18","9/4/15 14:29","general-gate4","general-gate1",11
"20150004010051-792","1","9/4/15 14:29","9/4/15 14:32","general-gate1","ranger-stop2",3
"20150004010051-792","1","9/4/15 14:32","9/4/15 14:34","ranger-stop2","ranger-stop0",2
"20150004010051-792","1","9/4/15 14:34","9/4/15 14:38","ranger-stop0","general-gate2",4
"20150004010051-792","1","9/4/15 14:38","9/4/15 14:49","general-gate2","general-gate5",11
"20150004010051-792","1","9/4/15 14:49","9/4/15 14:58","general-gate5","entrance4",9
"20150004030017-259","1","9/4/15 15:00","9/4/15 15:06","entrance1","camping4",6
"20150004030017-259","1","9/4/15 15:06","9/5/15 10:13","camping4","camping4",1147
"20150004030017-259","1","9/5/15 10:13","9/5/15 10:22","camping4","general-gate7",9
"20150004030017-259","1","9/5/15 10:22","9/5/15 10:36","general-gate7","entrance3",14
"20150005120027-336","1","10/5/15 12:00","10/5/15 12:13","entrance3","general-gate7",13
"20150005120027-336","1","10/5/15 12:13","10/5/15 12:25","general-gate7","entrance1",12
"20150007020012-126","1","8/7/15 14:00","8/7/15 14:14","entrance3","general-gate7",14
"20150007020012-126","1","8/7/15 14:14","8/7/15 14:28","general-gate7","camping3",14
"20150007020012-126","1","8/7/15 14:28","8/13/15 7:16","camping3","camping3",8208
"20150007020012-126","1","8/13/15 7:16","8/13/15 7:29","camping3","general-gate7",13
"20150007020012-126","1","8/13/15 7:29","8/13/15 7:36","general-gate7","general-gate4",7
"20150007020012-126","1","8/13/15 7:36","8/13/15 7:47","general-gate4","general-gate1",11
"20150007020012-126","1","8/13/15 7:47","8/13/15 7:50","general-gate1","ranger-stop2",3
"20150007020012-126","1","8/13/15 7:50","8/13/15 7:53","ranger-stop2","ranger-stop0",3
"20150007020012-126","1","8/13/15 7:53","8/13/15 7:56","ranger-stop0","general-gate2",3
"20150007020012-126","1","8/13/15 7:56","8/13/15 8:07","general-gate2","general-gate5",11
"20150007020012-126","1","8/13/15 8:07","8/13/15 8:17","general-gate5","entrance4",10
"20150007040000-591","1","8/7/15 16:00","8/7/15 16:10","entrance1","camping3",10
"20150007040000-591","1","8/7/15 16:10","8/7/15 16:10","camping3","camping3",0
"20150007040000-591","1","8/7/15 16:10","8/7/15 16:23","camping3","general-gate7",13
"20150007040000-591","1","8/7/15 16:23","8/7/15 16:30","general-gate7","general-gate4",7
"20150007040000-591","1","8/7/15 16:30","8/7/15 16:40","general-gate4","general-gate1",10
"20150007040000-591","1","8/7/15 16:40","8/7/15 16:43","general-gate1","ranger-stop2",3
"20150007040000-591","1","8/7/15 16:43","8/7/15 16:46","ranger-stop2","ranger-stop0",3
"20150007040000-591","1","8/7/15 16:46","8/7/15 16:49","ranger-stop0","general-gate2",3
"20150007040000-591","1","8/7/15 16:49","8/7/15 17:08","general-gate2","entrance2",19
"20150009040035-292","1","9/9/15 16:00","9/9/15 16:10","entrance4","general-gate5",10
"20150009040035-292","1","9/9/15 16:10","9/9/15 16:22","general-gate5","general-gate2",12
"20150009040035-292","1","9/9/15 16:22","9/9/15 16:25","general-gate2","ranger-stop0",3
"20150009040035-292","1","9/9/15 16:25","9/9/15 16:28","ranger-stop0","ranger-stop2",3
"20150009040035-292","1","9/9/15 16:28","9/9/15 16:31","ranger-stop2","general-gate1",3
"20150009040035-292","1","9/9/15 16:31","9/9/15 16:42","general-gate1","general-gate4",11
"20150009040035-292","1","9/9/15 16:42","9/9/15 16:50","general-gate4","general-gate7",8
"20150009040035-292","1","9/9/15 16:50","9/9/15 17:04","general-gate7","camping3",14
"20150009040035-292","1","9/9/15 17:04","9/12/15 22:55","camping3","camping3",4671
"20150009040035-292","1","9/12/15 22:55","9/12/15 23:08","camping3","general-gate7",13
"20150009040035-292","1","9/12/15 23:08","9/12/15 23:24","general-gate7","entrance3",16
"20150009060037-852","1","8/9/15 6:00","8/9/15 6:21","entrance3","general-gate1",21
"20150009060037-852","1","8/9/15 6:21","8/9/15 6:24","general-gate1","ranger-stop2",3
"20150009060037-852","1","8/9/15 6:24","8/9/15 6:27","ranger-stop2","ranger-stop0",3
"20150009060037-852","1","8/9/15 6:27","8/9/15 6:30","ranger-stop0","general-gate2",3
"20150009060037-852","1","8/9/15 6:30","8/9/15 6:41","general-gate2","general-gate5",11
"20150009060037-852","1","8/9/15 6:41","8/9/15 6:46","general-gate5","general-gate6",5
"20150009060037-852","1","8/9/15 6:46","8/9/15 6:54","general-gate6","camping7",8
"20150009060037-852","1","8/9/15 6:54","8/19/15 22:13","camping7","camping7",15319
"20150009060037-852","1","8/19/15 22:13","8/19/15 22:22","camping7","general-gate6",9
"20150009060037-852","1","8/19/15 22:22","8/19/15 22:28","general-gate6","entrance4",6
"20150009110038-258","1","8/9/15 11:00","8/9/15 11:17","entrance3","general-gate7",17
"20150009110038-258","1","8/9/15 11:17","8/9/15 11:27","general-gate7","camping4",10
"20150009110038-258","1","8/9/15 11:27","8/9/15 11:27","camping4","camping4",0
"20150009110038-258","1","8/9/15 11:27","8/9/15 11:38","camping4","general-gate7",11
"20150009110038-258","1","8/9/15 11:38","8/9/15 11:46","general-gate7","general-gate4",8
