"car.id","car.type","start_time","end_time","start_gate","end_gate","time_taken"
"20150001120031-180","2P","12/1/15 12:00","12/1/15 12:02","ranger-base","gate8",2
"20150001120031-180","2P","12/1/15 12:02","12/1/15 12:12","gate8","general-gate5",10
"20150001120031-180","2P","12/1/15 12:12","12/1/15 12:24","general-gate5","general-gate2",12
"20150001120031-180","2P","12/1/15 12:24","12/1/15 12:27","general-gate2","ranger-stop0",3
"20150001120031-180","2P","12/1/15 12:27","12/1/15 12:30","ranger-stop0","ranger-stop2",3
"20150001120031-180","2P","12/1/15 12:30","12/1/15 12:31","ranger-stop2","ranger-stop2",1
"20150001120031-180","2P","12/1/15 12:31","12/1/15 12:34","ranger-stop2","general-gate1",3
"20150001120031-180","2P","12/1/15 12:34","12/1/15 12:35","general-gate1","gate0",1
"20150001120031-180","2P","12/1/15 12:35","12/1/15 12:37","gate0","gate1",2
"20150001120031-180","2P","12/1/15 12:37","12/1/15 12:46","gate1","camping4",9
"20150001120031-180","2P","12/1/15 12:46","12/1/15 13:41","camping4","camping4",55
"20150001120031-180","2P","12/1/15 13:41","12/1/15 13:49","camping4","gate1",8
"20150001120031-180","2P","12/1/15 13:49","12/1/15 13:51","gate1","gate0",2
"20150001120031-180","2P","12/1/15 13:51","12/1/15 13:52","gate0","general-gate1",1
"20150001120031-180","2P","12/1/15 13:52","12/1/15 13:55","general-gate1","ranger-stop2",3
"20150001120031-180","2P","12/1/15 13:55","12/1/15 13:58","ranger-stop2","ranger-stop0",3
"20150001120031-180","2P","12/1/15 13:58","12/1/15 14:01","ranger-stop0","general-gate2",3
"20150001120031-180","2P","12/1/15 14:01","12/1/15 14:17","general-gate2","gate3",16
"20150001120031-180","2P","12/1/15 14:17","12/1/15 14:19","gate3","ranger-stop3",2
"20150001120031-180","2P","12/1/15 14:19","12/1/15 15:16","ranger-stop3","ranger-stop3",57
"20150001120031-180","2P","12/1/15 15:16","12/1/15 15:18","ranger-stop3","gate3",2
"20150001120031-180","2P","12/1/15 15:18","12/1/15 15:26","gate3","general-gate5",8
"20150001120031-180","2P","12/1/15 15:26","12/1/15 15:37","general-gate5","camping6",11
"20150001120031-180","2P","12/1/15 15:37","12/1/15 16:13","camping6","camping6",36
"20150001120031-180","2P","12/1/15 16:13","12/1/15 16:15","camping6","gate8",2
"20150001120031-180","2P","12/1/15 16:15","12/1/15 16:17","gate8","ranger-base",2
"20150007050005-262","2P","12/7/15 17:00","12/7/15 17:01","ranger-base","gate8",1
"20150007050005-262","2P","12/7/15 17:01","12/7/15 17:13","gate8","general-gate5",12
"20150007050005-262","2P","12/7/15 17:13","12/7/15 17:26","general-gate5","general-gate2",13
"20150007050005-262","2P","12/7/15 17:26","12/7/15 17:29","general-gate2","ranger-stop0",3
"20150007050005-262","2P","12/7/15 17:29","12/7/15 17:39","ranger-stop0","ranger-stop0",10
"20150007050005-262","2P","12/7/15 17:39","12/7/15 17:43","ranger-stop0","ranger-stop2",4
"20150007050005-262","2P","12/7/15 17:43","12/7/15 17:46","ranger-stop2","general-gate1",3
"20150007050005-262","2P","12/7/15 17:46","12/7/15 17:59","general-gate1","general-gate4",13
"20150007050005-262","2P","12/7/15 17:59","12/7/15 18:07","general-gate4","general-gate7",8
"20150007050005-262","2P","12/7/15 18:07","12/7/15 18:21","general-gate7","ranger-stop4",14
"20150007050005-262","2P","12/7/15 18:21","12/7/15 18:51","ranger-stop4","ranger-stop4",30
"20150007050005-262","2P","12/7/15 18:51","12/7/15 19:05","ranger-stop4","general-gate7",14
"20150007050005-262","2P","12/7/15 19:05","12/7/15 19:22","general-gate7","gate2",17
"20150007050005-262","2P","12/7/15 19:22","12/7/15 19:27","gate2","ranger-stop1",5
"20150007050005-262","2P","12/7/15 19:27","12/7/15 19:58","ranger-stop1","ranger-stop1",31
"20150007050005-262","2P","12/7/15 19:58","12/7/15 20:04","ranger-stop1","gate2",6
"20150007050005-262","2P","12/7/15 20:04","12/7/15 20:20","gate2","general-gate7",16
"20150007050005-262","2P","12/7/15 20:20","12/7/15 20:35","general-gate7","gate6",15
"20150007050005-262","2P","12/7/15 20:35","12/7/15 20:36","gate6","ranger-stop6",1
"20150007050005-262","2P","12/7/15 20:36","12/7/15 20:37","ranger-stop6","gate5",1
"20150007050005-262","2P","12/7/15 20:37","12/7/15 20:43","gate5","general-gate5",6
"20150007050005-262","2P","12/7/15 20:43","12/7/15 20:52","general-gate5","gate3",9
"20150007050005-262","2P","12/7/15 20:52","12/7/15 20:55","gate3","ranger-stop3",3
"20150007050005-262","2P","12/7/15 20:55","12/7/15 21:33","ranger-stop3","ranger-stop3",38
"20150007050005-262","2P","12/7/15 21:33","12/7/15 21:35","ranger-stop3","gate3",2
"20150007050005-262","2P","12/7/15 21:35","12/7/15 21:41","gate3","camping8",6
"20150007050005-262","2P","12/7/15 21:41","12/7/15 21:42","camping8","general-gate3",1
"20150007050005-262","2P","12/7/15 21:42","12/7/15 21:54","general-gate3","gate4",12
"20150007050005-262","2P","12/7/15 21:54","12/7/15 21:56","gate4","ranger-stop5",2
"20150007050005-262","2P","12/7/15 21:56","12/7/15 22:41","ranger-stop5","ranger-stop5",45
"20150007050005-262","2P","12/7/15 22:41","12/7/15 22:43","ranger-stop5","gate4",2
"20150007050005-262","2P","12/7/15 22:43","12/7/15 22:52","gate4","gate5",9
"20150007050005-262","2P","12/7/15 22:52","12/7/15 22:53","gate5","ranger-stop6",1
"20150007050005-262","2P","12/7/15 22:53","12/7/15 23:18","ranger-stop6","ranger-stop6",25
"20150007050005-262","2P","12/7/15 23:18","12/7/15 23:19","ranger-stop6","gate6",1
"20150007050005-262","2P","12/7/15 23:19","12/7/15 23:37","gate6","gate7",18
"20150007050005-262","2P","12/7/15 23:37","12/7/15 23:39","gate7","ranger-stop7",2
"20150007050005-262","2P","12/7/15 23:39","12/8/15 0:11","ranger-stop7","ranger-stop7",32
"20150007050005-262","2P","12/8/15 0:11","12/8/15 0:12","ranger-stop7","gate7",1
"20150007050005-262","2P","12/8/15 0:12","12/8/15 0:23","gate7","general-gate4",11
"20150007050005-262","2P","12/8/15 0:23","12/8/15 0:36","general-gate4","general-gate1",13
"20150007050005-262","2P","12/8/15 0:36","12/8/15 0:39","general-gate1","ranger-stop2",3
"20150007050005-262","2P","12/8/15 0:39","12/8/15 0:55","ranger-stop2","ranger-stop2",16
"20150007050005-262","2P","12/8/15 0:55","12/8/15 0:59","ranger-stop2","ranger-stop0",4
"20150007050005-262","2P","12/8/15 0:59","12/8/15 1:02","ranger-stop0","general-gate2",3
"20150007050005-262","2P","12/8/15 1:02","12/8/15 1:15","general-gate2","general-gate5",13
"20150007050005-262","2P","12/8/15 1:15","12/8/15 1:27","general-gate5","gate8",12
"20150007050005-262","2P","12/8/15 1:27","12/8/15 1:28","gate8","ranger-base",1
"20150010120011-538","2P","8/10/15 12:00","8/10/15 12:01","ranger-base","gate8",1
"20150010120011-538","2P","8/10/15 12:01","8/10/15 12:06","gate8","gate5",5
"20150010120011-538","2P","8/10/15 12:06","8/10/15 12:07","gate5","ranger-stop6",1
"20150010120011-538","2P","8/10/15 12:07","8/10/15 12:41","ranger-stop6","ranger-stop6",34
"20150010120011-538","2P","8/10/15 12:41","8/10/15 12:42","ranger-stop6","gate6",1
"20150010120011-538","2P","8/10/15 12:42","8/10/15 12:54","gate6","general-gate7",12
"20150010120011-538","2P","8/10/15 12:54","8/10/15 13:04","general-gate7","camping4",10
"20150010120011-538","2P","8/10/15 13:04","8/10/15 13:35","camping4","camping4",31
"20150010120011-538","2P","8/10/15 13:35","8/10/15 13:44","camping4","general-gate7",9
"20150010120011-538","2P","8/10/15 13:44","8/10/15 13:57","general-gate7","gate6",13
"20150010120011-538","2P","8/10/15 13:57","8/10/15 13:58","gate6","ranger-stop6",1
"20150010120011-538","2P","8/10/15 13:58","8/10/15 13:59","ranger-stop6","gate5",1
"20150010120011-538","2P","8/10/15 13:59","8/10/15 14:04","gate5","gate8",5
"20150010120011-538","2P","8/10/15 14:04","8/10/15 14:05","gate8","ranger-base",1
"20150013090012-973","2P","9/13/15 9:00","9/13/15 9:01","ranger-base","gate8",1
"20150013090012-973","2P","9/13/15 9:01","9/13/15 9:15","gate8","gate4",14
"20150013090012-973","2P","9/13/15 9:15","9/13/15 9:17","gate4","ranger-stop5",2
"20150013090012-973","2P","9/13/15 9:17","9/13/15 10:01","ranger-stop5","ranger-stop5",44
"20150013090012-973","2P","9/13/15 10:01","9/13/15 10:01","ranger-stop5","ranger-stop5",0
"20150013090012-973","2P","9/13/15 10:01","9/13/15 10:56","ranger-stop5","ranger-stop5",55
"20150013090012-973","2P","9/13/15 10:56","9/13/15 10:57","ranger-stop5","gate4",1
"20150013090012-973","2P","9/13/15 10:57","9/13/15 11:06","gate4","gate5",9
"20150013090012-973","2P","9/13/15 11:06","9/13/15 11:07","gate5","ranger-stop6",1
"20150013090012-973","2P","9/13/15 11:07","9/13/15 11:08","ranger-stop6","gate6",1
"20150013090012-973","2P","9/13/15 11:08","9/13/15 11:28","gate6","gate0",20
"20150013090012-973","2P","9/13/15 11:28","9/13/15 11:30","gate0","gate1",2
"20150013090012-973","2P","9/13/15 11:30","9/13/15 11:31","gate1","camping0",1
"20150013090012-973","2P","9/13/15 11:31","9/13/15 11:32","camping0","camping0",1
"20150013090012-973","2P","9/13/15 11:32","9/13/15 11:33","camping0","gate1",1
"20150013090012-973","2P","9/13/15 11:33","9/13/15 11:35","gate1","gate0",2
"20150013090012-973","2P","9/13/15 11:35","9/13/15 11:55","gate0","gate6",20
"20150013090012-973","2P","9/13/15 11:55","9/13/15 11:56","gate6","ranger-stop6",1
"20150013090012-973","2P","9/13/15 11:56","9/13/15 11:57","ranger-stop6","gate5",1
"20150013090012-973","2P","9/13/15 11:57","9/13/15 12:03","gate5","gate8",6
"20150013090012-973","2P","9/13/15 12:03","9/13/15 12:05","gate8","ranger-base",2
"20150013110026-772","2P","10/13/15 11:00","10/13/15 11:02","ranger-base","gate8",2
"20150013110026-772","2P","10/13/15 11:02","10/13/15 11:07","gate8","gate5",5
"20150013110026-772","2P","10/13/15 11:07","10/13/15 11:08","gate5","ranger-stop6",1
"20150013110026-772","2P","10/13/15 11:08","10/13/15 11:09","ranger-stop6","gate6",1
"20150013110026-772","2P","10/13/15 11:09","10/13/15 11:26","gate6","gate7",17
"20150013110026-772","2P","10/13/15 11:26","10/13/15 11:27","gate7","ranger-stop7",1
"20150013110026-772","2P","10/13/15 11:27","10/13/15 12:19","ranger-stop7","ranger-stop7",52
"20150013110026-772","2P","10/13/15 12:19","10/13/15 12:20","ranger-stop7","gate7",1
"20150013110026-772","2P","10/13/15 12:20","10/13/15 12:37","gate7","gate6",17
"20150013110026-772","2P","10/13/15 12:37","10/13/15 12:38","gate6","ranger-stop6",1
"20150013110026-772","2P","10/13/15 12:38","10/13/15 12:39","ranger-stop6","gate5",1
"20150013110026-772","2P","10/13/15 12:39","10/13/15 12:44","gate5","general-gate5",5
