startgate ,endgate ,avgtime ,totaltraffic 
entrance3,general-gate1,20.8842039,1589
general-gate1,ranger-stop2,2.663907285,7248
ranger-stop2,ranger-stop0,3.092119714,7284
ranger-stop0,general-gate2,3.244973328,7311
general-gate2,general-gate5,11.70486024,3971
general-gate5,camping6,10.50795756,754
camping6,camping6,2065.553571,1232
camping6,entrance2,19.89837398,246
entrance2,general-gate6,13.71559633,218
general-gate6,camping7,8.695255474,1096
camping7,camping7,2693.050274,1094
camping7,general-gate6,8.559414991,1094
general-gate6,entrance4,6.620512821,195
entrance4,general-gate5,10.13348416,2652
general-gate5,general-gate2,11.69517103,3976
general-gate2,ranger-stop0,3.257676903,7490
ranger-stop0,ranger-stop2,3.080530618,7463
ranger-stop2,general-gate1,2.656927427,7427
general-gate1,entrance0,1.570583888,1353
entrance2,general-gate2,20.12250712,2457
general-gate1,general-gate4,11.30612764,3933
general-gate4,general-gate7,7.131082062,5508
general-gate7,entrance1,13.19791214,2299
general-gate7,camping5,10.13224181,1588
camping5,camping5,4376.454203,1594
camping5,general-gate7,10.04476671,1586
entrance3,general-gate7,14.98116761,1593
general-gate7,general-gate4,7.12876506,5312
general-gate4,entrance0,12.78918919,1295
entrance0,general-gate4,12.67314702,1646
general-gate7,entrance3,15.00367797,2447
general-gate2,camping8,20.26322115,832
camping8,camping8,3861.094101,1424
camping8,general-gate5,13.09187279,283
general-gate5,entrance4,10.1619121,2594
entrance0,general-gate1,1.503921569,1530
ranger-base,gate8,1.538076152,998
gate8,general-gate5,10.04929577,568
ranger-stop2,ranger-stop2,30.87012987,308
general-gate1,gate0,1.1,40
gate0,gate1,1.71641791,67
gate1,camping4,8.6,5
camping4,camping4,4074.579061,1385
camping4,gate1,8.1,10
gate1,gate0,1.50877193,57
gate0,general-gate1,1.1,30
general-gate2,gate3,15.11764706,17
gate3,ranger-stop3,1.847649919,617
ranger-stop3,ranger-stop3,30.20840065,619
ranger-stop3,gate3,1.773095624,617
gate3,general-gate5,8.347945205,365
camping6,gate8,2.333333333,15
gate8,ranger-base,1.589178357,998
general-gate7,camping4,9.855227882,1119
camping4,general-gate7,9.768292683,1230
general-gate4,general-gate1,11.32128906,4096
general-gate2,entrance2,20.27093802,2388
general-gate7,camping0,18.51446945,622
camping0,camping0,3750.433796,793
camping0,general-gate7,18.43032159,653
general-gate7,camping2,18.03956044,910
camping2,camping2,4336.15,1140
camping2,general-gate7,17.93134328,1005
general-gate1,entrance3,20.93238095,2100
entrance1,general-gate7,13.20400453,2647
general-gate7,camping3,13.90575397,1008
camping3,camping3,2516.82697,1231
camping3,entrance1,11.0952381,126
camping3,general-gate7,13.76234004,1094
entrance1,camping4,7.252918288,257
entrance4,entrance2,19.60963855,415
entrance3,entrance0,22.35658915,387
camping8,general-gate2,20.12917115,929
entrance2,entrance4,19.26442308,416
entrance2,general-gate3,6.018050542,277
general-gate3,camping8,0.995180723,415
general-gate6,entrance2,13.76086957,230
entrance1,camping3,11.11792453,212
camping6,general-gate5,10.34642356,713
ranger-stop0,ranger-stop0,28.98355263,304
general-gate7,ranger-stop4,12.68092105,304
ranger-stop4,ranger-stop4,31.15909091,308
ranger-stop4,general-gate7,12.7384106,302
general-gate7,gate2,14.85714286,196
gate2,ranger-stop1,5.095454545,220
ranger-stop1,ranger-stop1,33.37083333,240
ranger-stop1,gate2,4.859090909,220
gate2,general-gate7,14.89903846,208
general-gate7,gate6,13.26,300
gate6,ranger-stop6,1.098827471,597
ranger-stop6,gate5,0.963095238,840
gate5,general-gate5,5.048076923,208
general-gate5,gate3,8.378787879,462
gate3,camping8,5.443037975,237
camping8,general-gate3,1.004504505,444
general-gate3,gate4,10.97033898,236
gate4,ranger-stop5,1.786026201,458
ranger-stop5,ranger-stop5,30.59090909,462
ranger-stop5,gate4,1.69650655,458
gate4,gate5,7.605363985,261
gate5,ranger-stop6,1.024067389,831
ranger-stop6,ranger-stop6,30.98666667,450
ranger-stop6,gate6,1.079931973,588
gate6,gate7,16.48605578,251
gate7,ranger-stop7,1.059701493,335
ranger-stop7,ranger-stop7,29.67952522,337
ranger-stop7,gate7,1.044776119,335
gate7,general-gate4,10.35443038,79
general-gate5,gate8,10.01244813,482
entrance1,camping2,5.839449541,218
general-gate5,general-gate6,4.242375602,623
entrance2,camping6,19.90410959,219
camping6,entrance4,2.327731092,238
camping2,entrance1,5.818181818,121
gate8,gate5,5.099431818,352
gate6,general-gate7,13.24381625,283
gate5,gate8,5.15,440
general-gate6,general-gate5,4.249201278,626
gate8,gate4,12.34285714,35
gate6,gate0,18.25925926,27
gate1,camping0,0.941176471,34
camping0,gate1,0.852941176,34
gate0,gate6,18.28,25
gate7,gate6,16.51821862,247
general-gate5,camping8,13.22977346,309
camping8,gate3,5.456521739,138
general-gate5,gate5,5.136842105,190
entrance4,general-gate6,6.509433962,212
entrance4,camping6,2.398268398,231
general-gate5,camping1,8.451612903,31
camping1,camping1,626.6823529,170
camping1,general-gate0,7.212389381,113
general-gate0,general-gate2,3.707964602,113
entrance0,entrance3,22.21212121,363
general-gate2,general-gate0,3.825242718,103
general-gate0,camping1,7.233009709,103
entrance1,camping0,16.06569343,137
camping0,entrance1,15.84693878,98
gate3,general-gate2,15.66666667,15
gate1,camping3,7.666666667,9
